Gensler ID,Brand,Brand - Major,Brand - Count,Latitude,Longitude,Vicinity,Postal Code,Locality,County,State,Population - Total,Sex - Male,Sex - Female,Age - Median,Hispanic - Yes,Hispanic - No,Race - White,Race - Black,Race - Native,Race - Asian,Race - Pacific,Race - Other,Race - Multiple,Income - Median,Edu - Mean,Edu - Less Than GED,Edu - High School GED,Edu - Attending College,Edu - Associate,Edu - Bachelor,Edu - Master,Edu - Professional,Edu - Doctorate,Commute Time - Mean,Other Gas Distance Min,Other Gas Distance Norm,Alcohol Distance Min,Alcohol Distance Norm,Cafe Distance Min,Cafe Distance Norm,Clinic Distance Min,Clinic Distance Norm,Convenience Distance Min,Convenience Distance Norm,Fitness Distance Min,Fitness Distance Norm,Library Distance Min,Library Distance Norm,Park Distance Min,Park Distance Norm,Platform Distance Min,Platform Distance Norm,School Distance Min,School Distance Norm,Sports Distance Min,Sports Distance Norm,Supermarket Distance Min,Supermarket Distance Norm
CB5RZG25GEHAIVE75G9PLFW72,Shell,Shell,322,33.41206,-117.60096,"2400 South El Camino Real, San Clemente",92672.0,San Clemente,Orange County,California,4294.0,2002.0,2292.0,55.6,3785.0,509.0,3808.0,32.0,28.0,115.0,0.0,139.0,172.0,113462.0,Edu - Associate,126.0,475.0,950.0,346.0,1066.0,312.0,176.0,50.0,29.9,0.735,0.85421,0.071,0.99719,0.541,0.91828,6.125,0.86004,0.006,0.99989,1.967,0.95537,2.062,0.84457,0.457,0.873,0.127,0.99709,0.698,0.93344,3.576,0.54591,1.341,0.74398
IZBNB1T16OPAXITUH4W5HWVI0,Russell Fischer,Other,3,33.43298,-117.6309,"1731 North El Camino Real, San Clemente",92672.0,San Clemente,Orange County,California,3490.0,1705.0,1785.0,34.5,2283.0,1207.0,2488.0,0.0,0.0,74.0,10.0,818.0,100.0,64565.0,Edu - Attending College,218.0,644.0,660.0,158.0,487.0,158.0,103.0,10.0,25.1,0.854,0.82977,0.223,0.98747,0.111,0.98384,2.509,0.94306,0.084,0.99815,0.793,0.98212,1.571,0.88167,0.109,0.97414,0.07,0.99845,0.721,0.93119,0.075,0.99424,0.807,0.84685
H5LPTXU6HA30D4QY766XKPYNT,76,76,394,33.42031,-117.60734,"1201 South El Camino Real, San Clemente",92672.0,San Clemente,Orange County,California,,,,,,,,,,,,,,,,,,,,,,,,,0.389,0.92526,0.773,0.9523,0.15,0.97789,5.076,0.88412,0.071,0.99844,0.894,0.97982,1.034,0.92225,1.036,0.70474,0.255,0.99404,0.447,0.95793,2.546,0.67781,0.256,0.953
4HORY85E8N71F5QEW527RCD5A,United Oil,Other,21,33.42347,-117.60913,"795 South El Camino Real, San Clemente",92672.0,San Clemente,Orange County,California,,,,,,,,,,,,,,,,,,,,,,,,,0.389,0.92526,0.423,0.97468,0.03,0.99619,4.728,0.89211,0.004,0.99993,0.56,0.98743,0.754,0.9434,0.937,0.73351,0.136,0.99688,0.715,0.93178,2.221,0.71943,0.085,0.98594
AAA1T011TZ8ZG2VMKIM6SXIC8,Chevron,Chevron,476,33.41822,-117.60383,"1729 South El Camino Real, San Clemente",92672.0,San Clemente,Orange County,California,4294.0,2002.0,2292.0,55.6,3785.0,509.0,3808.0,32.0,28.0,115.0,0.0,139.0,172.0,113462.0,Edu - Associate,126.0,475.0,950.0,346.0,1066.0,312.0,176.0,50.0,29.9,0.4,0.923,0.805,0.95026,0.254,0.96204,5.476,0.87494,0.025,0.99947,1.293,0.97073,1.433,0.8921,1.023,0.70851,0.025,0.99952,0.047,0.99697,2.946,0.62658,0.625,0.88191
UMQFMI7SHL9B4SLMDWQFMNEQB,Valero,Other,48,33.43071,-117.6153,"504 Avenida de la Estrella, San Clemente",92672.0,San Clemente,Orange County,California,3490.0,1705.0,1785.0,34.5,2283.0,1207.0,2488.0,0.0,0.0,74.0,10.0,818.0,100.0,64565.0,Edu - Attending College,218.0,644.0,660.0,158.0,487.0,158.0,103.0,10.0,25.1,0.988,0.80226,0.569,0.96535,0.255,0.96188,3.797,0.91349,0.153,0.99662,0.279,0.99383,0.678,0.94915,0.34,0.907,0.122,0.99721,0.293,0.97297,1.399,0.82469,1.072,0.7958
KF3L3JUCFC0CIHCSWOQI2KV3U,ARCO,ARCO,350,33.4412,-117.64461,"2749 North El Camino Real, San Clemente",92672.0,San Clemente,Orange County,California,1696.0,790.0,906.0,59.0,1546.0,150.0,1372.0,12.0,0.0,181.0,0.0,100.0,31.0,128333.0,Edu - Associate,47.0,160.0,353.0,95.0,366.0,300.0,63.0,16.0,31.6,0.05,0.99487,0.288,0.98331,1.462,0.77786,0.987,0.978,1.547,0.96557,1.895,0.95701,3.137,0.76334,0.706,0.80064,1.428,0.96605,0.678,0.93539,1.62,0.79639,1.878,0.64053
GQGGEM9IBB1D8AW28LAC7R0CY,ARCO,ARCO,350,33.44165,-117.64464,"2749 North El Camino Real, San Clemente",92672.0,San Clemente,Orange County,California,1696.0,790.0,906.0,59.0,1546.0,150.0,1372.0,12.0,0.0,181.0,0.0,100.0,31.0,128333.0,Edu - Associate,47.0,160.0,353.0,95.0,366.0,300.0,63.0,16.0,31.6,0.05,0.99487,0.251,0.98568,1.497,0.77253,0.944,0.97899,1.581,0.96482,1.908,0.95672,3.169,0.76092,0.659,0.8143,1.465,0.96517,0.684,0.9348,1.65,0.79255,1.83,0.64978
DZK6INVRM6EPRVRFVLS59N9W5,Mobil,Mobil,292,33.439,-117.62085,"600 Avenida Pico, San Clemente",92672.0,San Clemente,Orange County,California,4294.0,2002.0,2292.0,55.6,3785.0,509.0,3808.0,32.0,28.0,115.0,0.0,139.0,172.0,113462.0,Edu - Associate,126.0,475.0,950.0,346.0,1066.0,312.0,176.0,50.0,29.9,0.306,0.9423,1.028,0.936,0.041,0.99451,2.907,0.93392,0.005,0.99991,0.244,0.99462,1.617,0.87819,0.467,0.8701,0.782,0.98146,0.084,0.99336,1.08,0.86554,0.345,0.93585
GVAAV8PH6MHYUPMGD94RRDKVV,Chevron,Chevron,476,33.43798,-117.62391,"515 East Avenida Pico, San Clemente",92672.0,San Clemente,Orange County,California,1696.0,790.0,906.0,59.0,1546.0,150.0,1372.0,12.0,0.0,181.0,0.0,100.0,31.0,128333.0,Edu - Associate,47.0,160.0,353.0,95.0,366.0,300.0,63.0,16.0,31.6,0.306,0.9423,0.758,0.95326,0.34,0.94893,2.699,0.9387,0.02,0.99958,0.067,0.99866,1.596,0.87978,0.457,0.873,0.643,0.98478,0.338,0.96857,0.79,0.90268,0.056,0.99152
